28
0 1-45; 2-82; 3-15; 4-92; 5-33; 6-74; 7-28; 8-56; 9-12; 10-67; 11-41; 12-88; 13-23; 14-59; 15-95; 16-36; 17-72; 18-19; 19-54; 20-81; 21-27; 22-63; 23-14; 24-49; 25-91; 26-38; 27-75;
1 0-51; 2-29; 3-64; 4-18; 5-85; 6-42; 7-93; 8-37; 9-71; 10-25; 11-58; 12-16; 13-68; 14-31; 15-77; 16-24; 17-61; 18-97; 19-35; 20-86; 21-44; 22-11; 23-53; 24-99; 25-26; 26-66; 27-13;
2 0-82; 1-38; 3-91; 4-25; 5-69; 6-12; 7-56; 8-94; 9-47; 10-19; 11-73; 12-28; 13-52; 14-89; 15-34; 16-65; 17-15; 18-50; 19-96; 20-41; 21-78; 22-23; 23-67; 24-10; 25-55; 26-87; 27-32;
3 0-24; 1-76; 2-44; 4-61; 5-13; 6-88; 7-35; 8-11; 9-58; 10-92; 11-29; 12-66; 13-40; 14-17; 15-62; 16-84; 17-31; 18-79; 19-22; 20-57; 21-95; 22-43; 23-18; 24-65; 25-30; 26-59; 27-81;
4 0-93; 1-17; 2-58; 3-32; 5-71; 6-27; 7-84; 8-49; 9-15; 10-63; 11-36; 12-81; 13-24; 14-55; 15-98; 16-41; 17-10; 18-46; 19-83; 20-39; 21-66; 22-21; 23-74; 24-33; 25-86; 26-19; 27-52;
5 0-36; 1-89; 2-14; 3-68; 4-50; 6-95; 7-21; 8-72; 9-39; 10-85; 11-12; 12-57; 13-91; 14-43; 15-18; 16-60; 17-29; 18-75; 19-33; 20-16; 21-54; 22-88; 23-45; 24-20; 25-67; 26-34; 27-78;
6 0-71; 1-42; 2-27; 3-85; 4-19; 5-55; 7-63; 8-31; 9-96; 10-48; 11-20; 12-74; 13-37; 14-82; 15-13; 16-56; 17-94; 18-26; 19-61; 20-45; 21-17; 22-53; 23-89; 24-30; 25-11; 26-51; 27-99;
7 0-18; 1-66; 2-93; 3-41; 4-75; 5-28; 6-59; 8-83; 9-34; 10-11; 11-65; 12-22; 13-79; 14-16; 15-51; 16-88; 17-47; 18-14; 19-58; 20-92; 21-39; 22-68; 23-25; 24-77; 25-44; 26-20; 27-55;
8 0-55; 1-21; 2-84; 3-38; 4-67; 5-15; 6-44; 7-91; 9-62; 10-33; 11-78; 12-19; 13-54; 14-88; 15-26; 16-71; 17-35; 18-69; 19-27; 20-53; 21-82; 22-13; 23-46; 24-90; 25-37; 26-14; 27-64;
9 0-42; 1-85; 2-31; 3-72; 4-14; 5-58; 6-93; 7-26; 8-51; 10-77; 11-34; 12-68; 13-17; 14-63; 15-99; 16-22; 17-56; 18-81; 19-40; 20-15; 21-48; 22-94; 23-32; 24-59; 25-18; 26-75; 27-24;
10 0-67; 1-13; 2-55; 3-89; 4-26; 5-64; 6-32; 7-80; 8-45; 9-17; 11-51; 12-94; 13-39; 14-12; 15-57; 16-83; 17-38; 18-20; 19-74; 20-31; 21-69; 22-25; 23-61; 24-15; 25-52; 26-96; 27-41;
11 0-35; 1-91; 2-23; 3-54; 4-79; 5-16; 6-62; 7-29; 8-95; 9-48; 10-14; 12-40; 13-82; 14-35; 15-71; 16-11; 17-66; 18-28; 19-53; 20-88; 21-24; 22-59; 23-93; 24-42; 25-70; 26-31; 27-18;
12 0-88; 1-28; 2-60; 3-19; 4-43; 5-92; 6-39; 7-74; 8-22; 9-67; 10-34; 11-85; 13-13; 14-58; 15-91; 16-33; 17-79; 18-47; 19-12; 20-61; 21-26; 22-82; 23-39; 24-68; 25-24; 26-53; 27-89;
13 0-29; 1-74; 2-15; 3-52; 4-88; 5-34; 6-18; 7-50; 8-96; 9-42; 10-69; 11-27; 12-73; 14-20; 15-66; 16-92; 17-25; 18-57; 19-81; 20-35; 21-62; 22-19; 23-55; 24-84; 25-41; 26-16; 27-60;
14 0-59; 1-36; 2-71; 3-23; 4-65; 5-10; 6-47; 7-82; 8-39; 9-90; 10-18; 11-53; 12-25; 13-75; 15-32; 16-64; 17-12; 18-45; 19-94; 20-22; 21-56; 22-81; 23-28; 24-51; 25-14; 26-68; 27-37;
15 0-96; 1-24; 2-52; 3-81; 4-13; 5-56; 6-21; 7-68; 8-17; 9-63; 10-31; 11-84; 12-15; 13-46; 14-93; 16-49; 17-76; 18-29; 19-55; 20-83; 21-36; 22-72; 23-16; 24-58; 25-97; 26-40; 27-11;
16 0-14; 1-61; 2-98; 3-34; 4-73; 5-22; 6-53; 7-88; 8-44; 9-19; 10-66; 11-33; 12-86; 13-21; 14-54; 15-11; 17-48; 18-82; 19-23; 20-65; 21-18; 22-51; 23-86; 24-27; 25-63; 26-35; 27-77;
17 0-72; 1-33; 2-87; 3-15; 4-48; 5-91; 6-36; 7-12; 8-55; 9-98; 10-24; 11-61; 12-30; 13-77; 14-14; 15-56; 16-93; 18-38; 19-70; 20-19; 21-64; 22-28; 23-62; 24-85; 25-23; 26-79; 27-46;
18 0-41; 1-84; 2-22; 3-67; 4-11; 5-53; 6-79; 7-25; 8-60; 9-16; 10-58; 11-89; 12-45; 13-33; 14-72; 15-28; 16-67; 17-21; 19-38; 20-73; 21-14; 22-47; 23-95; 24-36; 25-82; 26-25; 27-58;
19 0-28; 1-69; 2-16; 3-55; 4-82; 5-25; 6-64; 7-38; 8-85; 9-49; 10-13; 11-47; 12-92; 13-26; 14-60; 15-17; 16-43; 17-86; 18-30; 20-56; 21-93; 22-37; 23-12; 24-69; 25-31; 26-73; 27-21;
20 0-85; 1-22; 3-46; 4-77; 5-30; 6-11; 7-52; 8-99; 9-23; 10-68; 11-17; 12-54; 13-88; 14-36; 15-73; 16-29; 17-64; 18-91; 19-42; 21-50; 22-84; 23-34; 24-18; 25-61; 26-28; 27-71;
21 0-21; 1-56; 2-92; 3-39; 4-74; 5-20; 6-48; 7-86; 8-32; 9-18; 10-65; 11-13; 12-59; 13-28; 14-70; 15-37; 16-75; 17-42; 18-87; 19-15; 20-52; 22-31; 23-76; 24-22; 25-68; 26-15; 27-51;
22 0-63; 1-31; 2-75; 3-21; 4-59; 5-86; 6-15; 7-43; 8-90; 9-36; 10-81; 11-46; 12-24; 13-65; 14-19; 15-53; 16-89; 17-34; 18-63; 19-97; 20-25; 21-57; 23-14; 24-56; 25-22; 26-78; 27-42;
23 0-48; 1-86; 2-35; 3-72; 4-16; 5-51; 6-93; 7-27; 8-64; 9-13; 10-47; 11-82; 12-36; 13-22; 14-61; 15-96; 16-45; 17-81; 18-24; 19-58; 20-89; 21-19; 22-35; 24-73; 25-29; 26-62; 27-14;
24 0-19; 1-54; 2-98; 3-36; 4-84; 5-29; 6-67; 7-14; 8-46; 9-82; 10-23; 11-66; 12-11; 13-44; 14-91; 15-25; 16-72; 17-59; 18-93; 19-32; 20-76; 21-12; 22-45; 23-88; 25-35; 26-17; 27-53;
25 0-77; 1-25; 2-63; 3-18; 4-45; 5-97; 6-31; 7-76; 8-12; 9-54; 10-88; 11-38; 12-20; 13-57; 14-11; 15-43; 16-78; 17-33; 18-68; 19-14; 20-58; 21-86; 22-29; 23-61; 24-13; 26-47; 27-84;
26 0-33; 1-79; 2-26; 3-57; 4-94; 5-31; 6-13; 7-52; 8-98; 9-41; 10-75; 11-23; 12-62; 13-18; 14-53; 15-90; 16-37; 17-84; 18-21; 19-65; 20-91; 21-46; 22-17; 23-52; 24-87; 25-34; 27-27;
27 0-60; 1-15; 2-49; 3-86; 4-22; 5-57; 6-83; 7-30; 8-67; 9-10; 10-44; 11-92; 12-26; 13-71; 14-18; 15-55; 16-86; 17-39; 18-72; 19-24; 20-68; 21-16; 22-54; 23-91; 24-38; 25-83; 26-23;
