15
0 1-29; 2-82; 3-46; 4-68; 5-52; 6-72; 7-42; 8-51; 9-55; 10-29; 11-74; 12-23; 13-72; 14-46;
1 0-29; 2-55; 3-46; 4-42; 5-43; 6-43; 7-23; 8-23; 9-31; 10-41; 11-51; 12-11; 13-52; 14-84;
2 0-82; 1-55; 3-68; 4-46; 5-55; 6-23; 7-43; 8-41; 9-29; 10-79; 11-21; 12-64; 13-31; 14-51;
3 0-46; 1-46; 2-68; 4-82; 5-15; 6-72; 7-31; 8-62; 9-42; 10-21; 11-51; 12-27; 13-43; 14-65;
4 0-68; 1-42; 2-46; 3-82; 5-74; 6-53; 7-82; 8-46; 9-68; 10-33; 11-66; 12-51; 13-38; 14-48;
5 0-52; 1-43; 2-55; 3-15; 4-74; 6-57; 7-48; 8-39; 9-23; 10-43; 11-45; 12-42; 13-80; 14-36;
6 0-72; 1-43; 2-23; 3-72; 4-53; 5-57; 7-53; 8-48; 9-47; 10-63; 11-21; 12-57; 13-40; 14-64;
7 0-42; 1-23; 2-43; 3-31; 4-82; 5-48; 6-53; 8-34; 9-18; 10-68; 11-76; 12-39; 13-13; 14-72;
8 0-51; 1-23; 2-41; 3-62; 4-46; 5-39; 6-48; 7-34; 9-51; 10-39; 11-38; 12-32; 13-35; 14-45;
9 0-55; 1-31; 2-29; 3-42; 4-68; 5-23; 6-47; 7-18; 8-51; 10-82; 11-18; 12-30; 13-43; 14-68;
10 0-29; 1-41; 2-79; 3-21; 4-33; 5-43; 6-63; 7-68; 8-39; 9-82; 11-57; 12-44; 13-76; 14-16;
11 0-74; 1-51; 2-21; 3-51; 4-66; 5-45; 6-21; 7-76; 8-38; 9-18; 10-57; 12-63; 13-75; 14-23;
12 0-23; 1-11; 2-64; 3-27; 4-51; 5-42; 6-57; 7-39; 8-32; 9-30; 10-44; 11-63; 13-46; 14-88;
13 0-72; 1-52; 2-31; 3-43; 4-38; 5-80; 6-40; 7-13; 8-35; 9-43; 10-76; 11-75; 12-46; 14-53;
14 0-46; 1-84; 2-51; 3-65; 4-48; 5-36; 6-64; 7-72; 8-45; 9-68; 10-16; 11-23; 12-88; 13-53;
