21
0 1-373; 2-843; 3-27; 4-608; 5-740; 6-858; 7-700; 8-975; 9-761; 10-69; 11-647; 12-493; 13-239; 14-821; 15-658; 16-89; 17-40; 18-932; 19-638; 20-722;
1 0-373; 2-827; 3-501; 4-648; 5-146; 6-664; 7-330; 8-431; 9-981; 10-525; 11-226; 12-704; 13-847; 14-612; 15-474; 16-837; 17-983; 18-414; 19-904; 20-78;  
2 0-843; 1-827; 3-90; 4-674; 5-550; 6-914; 7-867; 8-165; 9-999; 10-348; 11-256; 12-428; 13-541; 14-118; 15-882; 16-627; 17-781; 18-371; 19-849; 20-984; 
3 0-27; 1-501; 2-90; 4-291; 5-624; 6-851; 7-262; 8-683; 9-880; 10-40; 11-311; 12-572; 13-520; 14-110; 15-165; 16-239; 17-640; 18-448; 19-67; 20-421;
4 0-608; 1-648; 2-674; 3-291; 5-238; 6-406; 7-416; 8-542; 9-20; 10-623; 11-159; 12-842; 13-300; 14-163; 15-949; 16-571; 17-719; 18-291; 19-215; 20-296; 
5 0-740; 1-146; 2-550; 3-624; 4-238; 6-429; 7-455; 8-901; 9-941; 10-306; 11-750; 12-371; 13-958; 14-478; 15-846; 16-44; 17-89; 18-337; 19-114; 20-573; 
6 0-858; 1-664; 2-914; 3-851; 4-406; 5-429; 7-866; 8-710; 9-58; 10-393; 11-236; 12-881; 13-936; 14-170; 15-338; 16-328; 17-789; 18-250; 19-316; 20-837; 
7 0-700; 1-330; 2-867; 3-262; 4-416; 5-455; 6-866; 8-27; 9-903; 10-222; 11-734; 12-154; 13-884; 14-137; 15-212; 16-564; 17-24; 18-50; 19-12; 20-605;  
8 0-975; 1-431; 2-165; 3-683; 4-542; 5-901; 6-710; 7-27; 9-220; 10-161; 11-392; 12-569; 13-714; 14-273; 15-235; 16-332; 17-469; 18-230; 19-793; 20-144;
9 0-761; 1-981; 2-999; 3-880; 4-20; 5-941; 6-58; 7-903; 8-220; 10-608; 11-860; 12-889; 13-183; 14-890; 15-468; 16-285; 17-966; 18-708; 19-224; 20-634;
10 0-69; 1-525; 2-348; 3-40; 4-623; 5-306; 6-393; 7-222; 8-161; 9-608; 11-806; 12-75; 13-611; 14-225; 15-100; 16-972; 17-8; 18-757; 19-553; 20-812;
11 0-647; 1-226; 2-256; 3-311; 4-159; 5-750; 6-236; 7-734; 8-392; 9-860; 10-806; 12-106; 13-508; 14-851; 15-234; 16-769; 17-526; 18-771; 19-981; 20-203;
12 0-493; 1-704; 2-428; 3-572; 4-842; 5-371; 6-881; 7-154; 8-569; 9-889; 10-75; 11-106; 13-210; 14-530; 15-492; 16-179; 17-605; 18-258; 19-37; 20-719;
13 0-239; 1-847; 2-541; 3-520; 4-300; 5-958; 6-936; 7-884; 8-714; 9-183; 10-611; 11-508; 12-210; 14-764; 15-867; 16-711; 17-745; 18-279; 19-426; 20-451; 
14 0-821; 1-612; 2-118; 3-110; 4-163; 5-478; 6-170; 7-137; 8-273; 9-890; 10-225; 11-851; 12-530; 13-764; 15-123; 16-145; 17-997; 18-49; 19-651; 20-445;
15 0-658; 1-474; 2-882; 3-165; 4-949; 5-846; 6-338; 7-212; 8-235; 9-468; 10-100; 11-234; 12-492; 13-867; 14-123; 16-324; 17-303; 18-284; 19-312; 20-725; 
16 0-89; 1-837; 2-627; 3-239; 4-571; 5-44; 6-328; 7-564; 8-332; 9-285; 10-972; 11-769; 12-179; 13-711; 14-145; 15-324; 17-471; 18-349; 19-346; 20-298;
17 0-40; 1-983; 2-781; 3-640; 4-719; 5-89; 6-789; 7-24; 8-469; 9-966; 10-8; 11-526; 12-605; 13-745; 14-997; 15-303; 16-471; 18-690; 19-702; 20-954;
18 0-932; 1-414; 2-371; 3-448; 4-291; 5-337; 6-250; 7-50; 8-230; 9-708; 10-757; 11-771; 12-258; 13-279; 14-49; 15-284; 16-349; 17-690; 19-715; 20-174;
19 0-638; 1-904; 2-849; 3-67; 4-215; 5-114; 6-316; 7-12; 8-793; 9-224; 10-553; 11-981; 12-37; 13-426; 14-651; 15-312; 16-346; 17-702; 18-715; 20-793;
20 0-722; 1-78; 2-984; 3-421; 4-296; 5-573; 6-837; 7-605; 8-144; 9-634; 10-812; 11-203; 12-719; 13-451; 14-445; 15-725; 16-298; 17-954; 18-174; 19-793;
