25
0 1-373; 2-843; 3-27; 4-608; 5-740; 6-858; 7-700; 8-975; 9-761; 10-69; 11-647; 12-493; 13-239; 14-821; 15-658; 16-89; 17-40; 18-932; 19-638; 20-722; 21-910; 22-755; 23-810; 24-515; 
1 0-373; 2-827; 3-501; 4-648; 5-146; 6-664; 7-330; 8-431; 9-981; 10-525; 11-226; 12-704; 13-847; 14-612; 15-474; 16-837; 17-983; 18-414; 19-904; 20-78; 21-880; 22-575; 23-885; 24-334;  
2 0-843; 1-827; 3-90; 4-674; 5-550; 6-914; 7-867; 8-165; 9-999; 10-348; 11-256; 12-428; 13-541; 14-118; 15-882; 16-627; 17-781; 18-371; 19-849; 20-984; 21-122; 22-610; 23-397; 24-686; 
3 0-27; 1-501; 2-90; 4-291; 5-624; 6-851; 7-262; 8-683; 9-880; 10-40; 11-311; 12-572; 13-520; 14-110; 15-165; 16-239; 17-640; 18-448; 19-67; 20-421; 21-947; 22-650; 23-896; 24-462;
4 0-608; 1-648; 2-674; 3-291; 5-238; 6-406; 7-416; 8-542; 9-20; 10-623; 11-159; 12-842; 13-300; 14-163; 15-949; 16-571; 17-719; 18-291; 19-215; 20-296; 21-107; 22-140; 23-967; 24-990; 
5 0-740; 1-146; 2-550; 3-624; 4-238; 6-429; 7-455; 8-901; 9-941; 10-306; 11-750; 12-371; 13-958; 14-478; 15-846; 16-44; 17-89; 18-337; 19-114; 20-573; 21-795; 22-765; 23-169; 24-630;  
6 0-858; 1-664; 2-914; 3-851; 4-406; 5-429; 7-866; 8-710; 9-58; 10-393; 11-236; 12-881; 13-936; 14-170; 15-338; 16-328; 17-789; 18-250; 19-316; 20-837; 21-984; 22-668; 23-882; 24-661; 
7 0-700; 1-330; 2-867; 3-262; 4-416; 5-455; 6-866; 8-27; 9-903; 10-222; 11-734; 12-154; 13-884; 14-137; 15-212; 16-564; 17-24; 18-50; 19-12; 20-605; 21-709; 22-594; 23-476; 24-92;    
8 0-975; 1-431; 2-165; 3-683; 4-542; 5-901; 6-710; 7-27; 9-220; 10-161; 11-392; 12-569; 13-714; 14-273; 15-235; 16-332; 17-469; 18-230; 19-793; 20-144; 21-4; 22-939; 23-775; 24-969; 
9 0-761; 1-981; 2-999; 3-880; 4-20; 5-941; 6-58; 7-903; 8-220; 10-608; 11-860; 12-889; 13-183; 14-890; 15-468; 16-285; 17-966; 18-708; 19-224; 20-634; 21-467; 22-753; 23-801; 24-830; 
10 0-69; 1-525; 2-348; 3-40; 4-623; 5-306; 6-393; 7-222; 8-161; 9-608; 11-806; 12-75; 13-611; 14-225; 15-100; 16-972; 17-8; 18-757; 19-553; 20-812; 21-414; 22-988; 23-718; 24-738;
11 0-647; 1-226; 2-256; 3-311; 4-159; 5-750; 6-236; 7-734; 8-392; 9-860; 10-806; 12-106; 13-508; 14-851; 15-234; 16-769; 17-526; 18-771; 19-981; 20-203; 21-115; 22-830; 23-374; 24-206;
12 0-493; 1-704; 2-428; 3-572; 4-842; 5-371; 6-881; 7-154; 8-569; 9-889; 10-75; 11-106; 13-210; 14-530; 15-492; 16-179; 17-605; 18-258; 19-37; 20-719; 21-269; 22-162; 23-602; 24-113;
