26
0 1-42; 2-55; 3-61; 4-28; 5-34; 6-49; 7-50; 8-22; 9-67; 10-33; 11-45; 12-58; 13-19; 14-60; 15-38; 16-52; 17-25; 18-47; 19-30; 20-56; 21-41; 22-63; 23-29; 24-36; 25-54;
1 0-42; 2-33; 3-48; 4-55; 5-21; 6-67; 7-39; 8-50; 9-24; 10-58; 11-30; 12-44; 13-62; 14-25; 15-51; 16-36; 17-59; 18-32; 19-47; 20-22; 21-65; 22-38; 23-53; 24-41; 25-28;
2 0-55; 1-33; 3-25; 4-64; 5-49; 6-30; 7-56; 8-41; 9-52; 10-27; 11-61; 12-35; 13-46; 14-58; 15-22; 16-69; 17-43; 18-50; 19-28; 20-37; 21-53; 22-26; 23-44; 24-59; 25-31;
3 0-61; 1-48; 2-25; 4-36; 5-58; 6-24; 7-42; 8-66; 9-31; 10-50; 11-29; 12-53; 13-38; 14-45; 15-64; 16-22; 17-55; 18-39; 19-61; 20-48; 21-27; 22-52; 23-35; 24-20; 25-47;
4 0-28; 1-55; 2-64; 3-36; 5-27; 6-52; 7-33; 8-45; 9-59; 10-41; 11-23; 12-66; 13-30; 14-53; 15-46; 16-39; 17-22; 18-61; 19-35; 20-50; 21-44; 22-58; 23-26; 24-49; 25-37;
5 0-34; 1-21; 2-49; 3-58; 4-27; 6-44; 7-29; 8-36; 9-53; 10-62; 11-40; 12-31; 13-55; 14-28; 15-42; 16-50; 17-33; 18-26; 19-54; 20-39; 21-59; 22-45; 23-32; 24-57; 25-24;
6 0-49; 1-67; 2-30; 3-24; 4-52; 5-44; 7-25; 8-58; 9-41; 10-35; 11-53; 12-28; 13-47; 14-61; 15-29; 16-33; 17-50; 18-22; 19-45; 20-64; 21-38; 22-27; 23-56; 24-31; 25-59;
7 0-50; 1-39; 2-56; 3-42; 4-33; 5-29; 6-25; 8-47; 9-60; 10-44; 11-35; 12-52; 13-26; 14-49; 15-55; 16-41; 17-30; 18-58; 19-37; 20-23; 21-46; 22-51; 23-28; 24-45; 25-34;
8 0-22; 1-50; 2-41; 3-66; 4-45; 5-36; 6-58; 7-47; 9-33; 10-29; 11-55; 12-42; 13-24; 14-39; 15-61; 16-27; 17-46; 18-53; 19-31; 20-59; 21-35; 22-48; 23-25; 24-52; 25-40;
9 0-67; 1-24; 2-52; 3-31; 4-59; 5-53; 6-41; 7-60; 8-33; 10-46; 11-38; 12-25; 13-50; 14-34; 15-27; 16-55; 17-62; 18-44; 19-29; 20-36; 21-51; 22-30; 23-48; 24-23; 25-57;
10 0-33; 1-58; 2-27; 3-50; 4-41; 5-62; 6-35; 7-44; 8-29; 9-46; 11-22; 12-49; 13-37; 14-55; 15-32; 16-48; 17-26; 18-60; 19-43; 20-31; 21-54; 22-39; 23-42; 24-56; 25-25;
11 0-45; 1-30; 2-61; 3-29; 4-23; 5-40; 6-53; 7-35; 8-55; 9-38; 10-22; 12-36; 13-49; 14-42; 15-59; 16-31; 17-54; 18-27; 19-50; 20-46; 21-25; 22-56; 23-34; 24-48; 25-63;
12 0-58; 1-44; 2-35; 3-53; 4-66; 5-31; 6-28; 7-52; 8-42; 9-25; 10-49; 11-36; 13-33; 14-22; 15-45; 16-63; 17-57; 18-29; 19-41; 20-55; 21-32; 22-24; 23-50; 24-39; 25-48;
13 0-19; 1-62; 2-46; 3-38; 4-30; 5-55; 6-47; 7-26; 8-24; 9-50; 10-37; 11-49; 12-33; 14-29; 15-53; 16-45; 17-31; 18-56; 19-25; 20-42; 21-60; 22-35; 23-21; 24-54; 25-43;
14 0-60; 1-25; 2-58; 3-45; 4-53; 5-28; 6-61; 7-49; 8-39; 9-34; 10-55; 11-42; 12-22; 13-29; 15-36; 16-57; 17-63; 18-41; 19-33; 20-27; 21-48; 22-31; 23-59; 24-26; 25-52;
15 0-38; 1-51; 2-22; 3-64; 4-46; 5-42; 6-29; 7-55; 8-61; 9-27; 10-32; 11-59; 12-45; 13-53; 14-36; 16-25; 17-48; 18-35; 19-57; 20-40; 21-28; 22-49; 23-43; 24-33; 25-26;
16 0-52; 1-36; 2-69; 3-22; 4-39; 5-50; 6-33; 7-41; 8-27; 9-55; 10-48; 11-31; 12-63; 13-45; 14-57; 15-25; 17-34; 18-52; 19-26; 20-53; 21-43; 22-60; 23-38; 24-29; 25-56;
17 0-25; 1-59; 2-43; 3-55; 4-22; 5-33; 6-50; 7-30; 8-46; 9-62; 10-26; 11-54; 12-57; 13-31; 14-63; 15-48; 16-34; 18-24; 19-49; 20-35; 21-58; 22-41; 23-27; 24-51; 25-39;
18 0-47; 1-32; 2-50; 3-39; 4-61; 5-26; 6-22; 7-58; 8-53; 9-44; 10-60; 11-27; 12-29; 13-56; 14-41; 15-35; 16-52; 17-24; 19-34; 20-49; 21-33; 22-55; 23-46; 24-30; 25-21;
19 0-30; 1-47; 2-28; 3-61; 4-35; 5-54; 6-45; 7-37; 8-31; 9-29; 10-43; 11-50; 12-41; 13-25; 14-33; 15-57; 16-26; 17-49; 18-34; 20-21; 21-52; 22-36; 23-40; 24-55; 25-29;
20 0-56; 1-22; 2-37; 3-48; 4-50; 5-39; 6-64; 7-23; 8-59; 9-36; 10-31; 11-46; 12-55; 13-42; 14-27; 15-40; 16-53; 17-35; 18-49; 19-21; 21-44; 22-29; 23-52; 24-25; 25-43;
21 0-41; 1-65; 2-53; 3-27; 4-44; 5-59; 6-38; 7-46; 8-35; 9-51; 10-54; 11-25; 12-32; 13-60; 14-48; 15-28; 16-43; 17-58; 18-33; 19-52; 20-44; 22-34; 23-23; 24-40; 25-50;
22 0-63; 1-38; 2-26; 3-52; 4-58; 5-45; 6-27; 7-51; 8-48; 9-30; 10-39; 11-56; 12-24; 13-35; 14-31; 15-49; 16-60; 17-41; 18-55; 19-36; 20-29; 21-34; 23-47; 24-21; 25-32;
23 0-29; 1-53; 2-44; 3-35; 4-26; 5-32; 6-56; 7-28; 8-25; 9-48; 10-42; 11-34; 12-50; 13-21; 14-59; 15-43; 16-38; 17-27; 18-46; 19-40; 20-52; 21-23; 22-47; 24-37; 25-51;
24 0-36; 1-41; 2-59; 3-20; 4-49; 5-57; 6-31; 7-45; 8-52; 9-23; 10-56; 11-48; 12-39; 13-54; 14-26; 15-33; 16-29; 17-51; 18-30; 19-55; 20-25; 21-40; 22-21; 23-37; 25-26;
25 0-54; 1-28; 2-31; 3-47; 4-37; 5-24; 6-59; 7-34; 8-40; 9-57; 10-25; 11-63; 12-48; 13-43; 14-52; 15-26; 16-56; 17-39; 18-21; 19-29; 20-43; 21-50; 22-32; 23-51; 24-26;
